Prefecture,Americans,Scaled Up,Total,Rounded up,,,,,,,,,,,Region,Americans
Hokkaidō,1090,4553.524804,"200,000",4554,,,,,,,,,,,Hokkaidō,1090
Akita,152,634.9869452,,635,,,,,,,,,,,Tōhoku,1623
Aomori,366,1528.981723,,1529,,,,,,,,,,,Kantō,26943
Fukushima,248,1036.031332,,1037,,,,,,,,,,,Chūbu,4482
Iwate,166,693.4725849,,694,,,,,,,,,,,Kansai,6239
Miyagi,552,2306.005222,,2307,,,,,,,,,,,Chūgoku,1485
Yamagata,139,580.6788512,,581,,,,,,,,,,,Shikoku,569
Chiba,2002,8363.446475,,8364,,,,,,,,,,,Kyūshū,5444
Gunma,418,1746.214099,,1747,,,,,,,,,,,Total,47875
Ibaraki,628,2623.498695,,2624,,,,,,,,,,,,
Kanagawa,5381,22479.37337,,22480,,,,,,,,,,,,
Saitama,1590,6642.29765,,6643,,,,,,,,,,,,
Tochigi,417,1742.036554,,1743,,,,,,,,,,,,
Tokyo,16507,68958.74674,,68959,,,,,,,,,,,,
Aichi,1852,7736.814621,,7737,,,,,,,,,,,,
Fukui,144,601.5665796,,602,,,,,,,,,,,,
Gifu,305,1274.151436,,1275,,,,,,,,,,,,
Ishikawa,247,1031.853786,,1032,,,,,,,,,,,,
Nagano,486,2030.287206,,2031,,,,,,,,,,,,
Niigata,292,1219.843342,,1220,,,,,,,,,,,,
Shizuoka,759,3170.75718,,3171,,,,,,,,,,,,
Toyama,146,609.921671,,610,,,,,,,,,,,,
Yamanashi,251,1048.563969,,1049,,,,,,,,,,,,
Hyōgo,1585,6621.409922,,6622,,,,,,,,,,,,
Kyoto,1210,5054.830287,,5055,,,,,,,,,,,,
Mie,220,919.0600522,,920,,,,,,,,,,,,
Nara,283,1182.245431,,1183,,,,,,,,,,,,
Osaka,2522,10535.77023,,10536,,,,,,,,,,,,
Shiga,272,1136.292428,,1137,,,,,,,,,,,,
Wakayama,147,614.0992167,,615,,,,,,,,,,,,
Hiroshima,623,2602.610966,,2603,,,,,,,,,,,,
Okayama,329,1374.412533,,1375,,,,,,,,,,,,
Shimane,130,543.0809399,,544,,,,,,,,,,,,
Tottori,62,259.0078329,,260,,,,,,,,,,,,
Yamaguchi,341,1424.543081,,1425,,,,,,,,,,,,
Ehime,152,634.9869452,,635,,,,,,,,,,,,
Kagawa,155,647.5195822,,648,,,,,,,,,,,,
Kōchi,137,572.3237598,,573,,,,,,,,,,,,
Tokushima,125,522.1932115,,523,,,,,,,,,,,,
Fukuoka,1144,4779.112272,,4780,,,,,,,,,,,,
Kagoshima,226,944.1253264,,945,,,,,,,,,,,,
Kumamoto,281,1173.890339,,1174,,,,,,,,,,,,
Miyazaki,170,710.1827676,,711,,,,,,,,,,,,
Nagasaki,440,1838.120104,,1839,,,,,,,,,,,,
Ōita,195,814.6214099,,815,,,,,,,,,,,,
Okinawa,2886,12056.39687,,12057,,,,,,,,,,,,
Saga,102,426.1096606,,427,,,,,,,,,,,,
Total,47875,200000,,200026,,,,,,,,,,,,